Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
INJUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,44.42103952800001,12,91.66666666666666,51,6,1,2
INJUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,6.1794456800000175,7,85.71428571428571,49,6,1,2
INJUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.2024674240000088,1,0.0,52,6,1,2
INJUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-1.9693305120000004,2,0.0,49,8,2,1
INJUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.206399300000042,10,60.0,54,5,2,2
INJUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.9729034160000491,9,66.66666666666666,54,6,1,2
INJUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.6126252720000123,2,50.0,48,8,1,1
INJUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,22.660756067999998,6,83.33333333333334,52,8,1,1
INJUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.421958123999989,2,50.0,47,6,1,1
INJUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.459232695999968,3,66.66666666666666,47,7,1,1
INJUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.009931191999967837,2,50.0,47,6,1,1
INJUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,9.120805775999985,6,100.0,47,6,2,3
INJUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-2.047162227999977,3,33.33333333333333,47,7,1,2
INJUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.184833436000001,8,62.5,48,5,1,1
INJUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.5944022919999976,4,75.0,48,7,2,3
INJUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,23.848371840000038,7,100.0,42,7,1,2
INJUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,41,7,1,2
INJUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.6449635760000128,3,66.66666666666666,46,7,1,2
INJUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-2.384668648000021,4,25.0,42,6,1,2
INJUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.2501876839999824,4,75.0,42,6,1,3
INJUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.671894384000063,3,100.0,43,6,1,3
INJUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,3.3998219040000555,3,66.66666666666666,49,6,1,3
INJUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.7346320800000417,11,63.63636363636363,51,5,1,1
INJUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.188148723999891,6,83.33333333333334,51,6,1,2
INJUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,6.479362016000034,8,75.0,53,5,1,2
INJUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.334416319999967,6,66.66666666666666,53,5,1,2
INJUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-15.918261539999968,4,25.0,53,5,1,2
INJUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,22.631696491999985,9,66.66666666666666,52,5,1,2
INJUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-0.8220713360000631,7,71.42857142857143,51,5,2,1
INJUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.2531975119999723,3,66.66666666666666,50,7,2,1
INJUSDT,30min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-16.927582127999973,8,50.0,44,6,2,1
INJUSDT,30min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,11.779223399999971,3,66.66666666666666,53,7,1,1
INJUSDT,30min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,0.0,0,0,43,7,2,1
