Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SOLUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.37320750800002,5,100.0,42,7,2,2
SOLUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,45,8,2,1
SOLUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.46278016799998767,2,100.0,42,5,2,4
SOLUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.6494481599999897,1,100.0,42,5,2,1
SOLUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-0.11341308000001327,7,57.14285714285714,42,5,2,2
SOLUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,22.142794887999994,14,64.28571428571429,43,5,2,2
SOLUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,54,6,1,1
SOLUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,4.742694347999987,7,42.857142857142854,51,6,1,1
SOLUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.9892350040000126,6,83.33333333333334,46,5,1,4
SOLUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.148463571999983,3,33.33333333333333,51,5,2,3
SOLUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.378014140000051,3,100.0,50,5,2,3
SOLUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,8.935586835999976,3,100.0,44,5,2,1
SOLUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-2.4516692639999893,3,0.0,53,5,1,1
SOLUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.609974195999978,5,60.0,53,5,1,1
SOLUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.2129943280000175,3,100.0,51,5,1,2
SOLUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.35657061999998,4,50.0,54,5,1,1
SOLUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-3.845803520000024,1,0.0,49,5,2,1
SOLUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,8.913200527999997,3,100.0,49,5,1,1
SOLUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.1297028600000036,1,100.0,43,5,2,2
SOLUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.832710596000009,2,50.0,50,5,1,1
SOLUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,43,5,1,4
SOLUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.778326000000007,1,100.0,50,5,2,4
SOLUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.24660151999994495,4,50.0,54,5,1,1
SOLUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.8754807999999965,4,50.0,52,5,1,1
SOLUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,9.226509440000052,4,75.0,52,5,2,1
SOLUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,5.448293320000008,4,75.0,46,5,2,1
SOLUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.8851123199999922,1,0.0,52,5,1,1
SOLUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.2246862800000544,11,72.72727272727273,53,5,1,3
SOLUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.744209759999984,5,60.0,54,5,1,1
SOLUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.81619624,1,100.0,54,5,1,5
SOLUSDT,15min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-25.647069400000056,10,50.0,53,5,2,1
SOLUSDT,15min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,1.7536101599999743,1,100.0,54,7,2,4
SOLUSDT,15min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,-0.108389760000005,1,0.0,54,7,1,5
