Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000PEPEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-9.578418604950745,6,66.66666666666666,17,52,7,1,True,58,5
1000PEPEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.568111945012847,6,50.0,29,50,6,1,True,58,5
1000PEPEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.0231017543727683,11,63.63636363636363,21,52,8,3,False,46,3
1000PEPEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,11.488698263588493,49,81.63265306122449,23,32,4,2,False,42,3
1000PEPEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,61.566533564592916,49,85.71428571428571,19,46,3,1,False,44,4
1000PEPEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.760649512224812,3,66.66666666666666,21,20,1,5,True,74,2
1000PEPEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.903512085691216,3,66.66666666666666,19,22,1,9,True,74,2
1000PEPEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-14.02486916356802,4,50.0,21,52,2,5,True,64,3
1000PEPEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,9.726675006606822,3,33.33333333333333,15,20,4,2,True,74,3
1000PEPEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.7952192604979933,2,50.0,21,46,3,1,True,66,3
1000PEPEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,16.716993236627143,8,87.5,33,22,1,1,True,70,2
1000PEPEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.162542422955997,3,33.33333333333333,15,28,11,7,True,64,2
1000PEPEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,8.944567816050819,5,80.0,25,34,11,6,True,60,3
1000PEPEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.7351845120800125,5,80.0,21,46,9,2,True,58,6
1000PEPEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,15.112725009198824,5,80.0,15,44,11,1,True,60,7
1000PEPEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-19.557172351804418,3,33.33333333333333,39,54,11,6,True,58,3
1000PEPEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.176512636216432,15,80.0,35,44,9,2,True,48,5
1000PEPEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.8364167751628737,22,59.09090909090909,27,50,7,8,True,42,6
1000PEPEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.8178992532399851,1,0.0,37,20,10,11,True,84,7
1000PEPEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.7088132592463685,26,69.23076923076923,15,44,6,3,True,48,5
1000PEPEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,6.382139743441617,22,86.36363636363636,35,30,8,2,True,50,4
1000PEPEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.5481568228724152,19,78.94736842105263,29,52,7,1,True,46,6
1000PEPEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,34.05242790197758,19,100.0,38,78,4,2,False,84,3
1000PEPEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.4696143108663895,3,66.66666666666666,36,30,4,9,True,68,2
1000PEPEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,29.395814111810402,13,92.3076923076923,12,32,6,1,True,60,4
1000PEPEUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-11.25018948184161,6,50.0,32,46,11,1,True,58,3
