Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
SOLUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.7744915070614615,1,0.0,17,3,3,4,8,10,28,43,60,9,34,5,2,14,False
SOLUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.787242678261672,7,85.71428571428571,17,2,6,3,10,15,18,25,60,13,38,5,2,9,True
SOLUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.94452829652301,4,75.0,18,3,3,8,11,21,22,37,190,10,36,5,2,19,True
SOLUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-3.0177329035208977,1,0.0,17,1,2,6,6,14,31,37,190,8,35,3,2,12,True
SOLUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.339841474929404,3,66.66666666666666,19,4,3,6,8,18,25,49,130,20,34,3,3,5,True
SOLUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.6855988143121,3,100.0,19,3,4,5,12,15,15,31,190,14,32,4,6,7,True
SOLUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.16362335686812557,2,50.0,17,1,3,7,12,20,15,47,80,7,34,5,5,7,False
SOLUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.444207257707282,1,0.0,18,3,3,3,6,19,15,45,60,15,34,5,2,6,False
SOLUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.5406783752997191,1,0.0,19,2,2,9,7,11,29,43,50,7,36,5,5,14,False
SOLUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,7.645553643695124,4,75.0,19,3,6,3,6,18,18,31,130,7,26,3,3,14,True
SOLUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.7299773901387594,1,0.0,17,1,7,8,6,11,20,25,60,8,39,5,5,10,True
SOLUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.2676949521751375,1,0.0,16,2,5,8,9,24,16,49,170,7,25,4,2,13,True
SOLUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.9610631507719578,5,100.0,17,1,4,4,10,12,24,47,120,18,34,1,4,9,False
SOLUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5094310059847063,1,0.0,17,3,2,5,9,18,31,49,170,18,30,1,5,19,False
SOLUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.3883188535257931,2,100.0,18,3,3,4,7,11,26,47,120,9,20,1,4,9,False
SOLUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.3564278772124867,1,0.0,17,2,2,6,7,10,21,27,80,16,38,1,5,12,True
SOLUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.3920155545139377,6,100.0,16,4,3,5,11,13,24,41,160,12,32,2,7,7,True
SOLUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-6.594707316234816,1,0.0,19,4,2,7,10,13,26,43,100,13,22,1,2,18,False
SOLUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.9725692119711997,5,80.0,16,4,5,5,13,21,16,47,60,8,36,3,7,18,False
SOLUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.2505016074759503,1,0.0,17,1,6,7,14,13,26,39,140,20,26,2,6,13,True
SOLUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,19,2,7,8,7,22,32,25,80,13,21,5,2,13,True
SOLUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.204752331992486,2,50.0,16,2,7,7,10,13,28,49,70,13,22,3,7,9,False
SOLUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,7.872499203814032,9,100.0,19,1,7,5,11,10,26,35,80,16,39,4,2,14,True
SOLUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.209003625488835,2,50.0,19,3,2,5,7,16,24,29,70,17,36,5,4,10,False
